Prinzip,Anhang,Begründung,Betroffenheit,Erfolgskriterium,Fundort,Guideline,Konformitätsstufe,Status
Understandable,,Es befindet sich nur auf der Startseite eine verlinkung zu den Kontakt und Hilfsmöglichkeiten,Cognitive,3.2.6 – Consistent Help,"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",3.2 – Predictable,A,Nicht Erfüllt
Operable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Operable%203263-2d59/image.png,"Kontaktformular: nicht alle Elemente sind per Tastatur nutzbar

FAQs: Icons sind nicht per Keyboard zu erreichen

Ansprechperson: Zurück Icon kann nicht über Tastatur erreicht werden

(Meldeformular Pop-up kann per tab übersprungen werden ohne geschlossen zu werden)","Cognitive, Physical/Motor, Visual",2.1.1 – Keyboard,"Ansprechperson finden, FAQs, Kontaktformular",2.1 – Keyboard Accessible,A,Nicht Erfüllt
Perceivable,"Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%201.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%202.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%203.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%204.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%205.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/Bildschirmfoto_2026-02-20_um_22.51.03.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-7061/image%206.png","Startseite: Button und Verlinkungen haben nicht ausreichen Kontrast

Kontaktformular:Nicht ausreichender Kontrast 
Schriftgöße bei “(optional”) zu klein

Navigation: Kein Element hat ausreichend Kontrast

Meldeformular: Fehlermeldungen und Links haben nicht ausreichend Kontrast
Schriftgöße bei “(optional”) zu klein

Impressum: Verlinkungen haben nicht ausreichend Kontrast

FAQs: Text im Akkordeon hat nicht ausreichend Kontrast
linktext nich ausreichend Kontrast

Datenschutz: Verlinkungen haben nicht ausreichend Kontrast

Ansprechperson: Text hat nicht ausreichend Kontrast",Visual,1.4.3 – Contrast (Minimum),"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",1.4 – Distinguishable,AA,Nicht Erfüllt
Understandable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Understandable%203263-2d2f/image.png,"Meldeformular: Fehlermeldungen am falschen Feld

Kontaktformular: “Bitte wählen Sie etwas aus.” ist nicht spezifisch genug","Cognitive, Visual",3.3.3 – Error Suggestion,"Kontaktformular, Meldeformular",3.3 – Input Assistance,AA,Nicht Erfüllt
Understandable,,,"Cognitive, Physical/Motor",3.3.8 – Accessible Authentication (Minimum),,3.3 – Input Assistance,AA,NA
Understandable,,,,3.1.4 – Abbreviations,"Ansprechperson finden, Datenschutzhinweise, FAQs, Startseite",3.1 – Readable,AAA,Nicht Erfüllt
Perceivable,,,"Cognitive, Visual",1.4.12 – Text Spacing,,1.4 – Distinguishable,AA,Erfüllt
Operable,,,,2.4.12 – Focus Not Obscured (Enhanced),FAQs,2.4 – Navigable,AAA,Nicht Erfüllt
Understandable,,,"Cognitive, Physical/Motor",3.3.7 – Redundant Entry,,3.3 – Input Assistance,A,Erfüllt
Perceivable,"Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-4a46/image.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-4a46/image%201.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-4a46/image%202.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-4a46/image%203.png","Kontaktformular: mehrfach gleiche ID
Fehlermeldungen nicht programmatisch mit dem Feld verknüpft (von screenreadern nicht nutzbar) 

Navigation: Sprachauswahl ohne sichtbares/programmatisches Label
Icon Links/Buttons ohne zugänglichen Namen

FAQs: Unklar wie viele Items da es keine tatsächliche Liste ist

Meldeformular: 
Fehlermeldungen sind nicht dem richtigen Feld zugeordnet keine Verknüpfung (z. B. aria-describedby / aria-errormessage + aria-invalid)
mehrfach gleiche ID
Checkbox ist nicht mit ihrem Label verknüpft
Falsche Fehlermeldungen im Kontaktdaten-Block

Datenschutz: Auf h1 folgt h3

Impressum: Auf h1 folgt h3

Ansprechperson: Inhalte bestehen aus mehreren strukturierten Bezeichnungs-Wert-Paaren wie Telefon, E-Mail, Mitgliedergruppe oder Gremium, werden jedoch nur als einfache Absätze dargestellt und nicht semantisch als zusammengehörige Datensätze ausgezeichnet
Umsetzungsvorschlag definitionsliste

Name einer Kontaktperson wird visuell als Titel hervorgehoben, jedoch lediglich mit einem p-Element statt mit einer semantischen Überschrift umgesetzt

Unklar wie viele Items da es keine tatsächliche Liste ist","Cognitive, Visual",1.3.1 – Info and Relationships,"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation",1.3 – Adaptable,A,Nicht Erfüllt
